shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_11,43.4623695899869,-3.79808652023512,1,0
Route_11,43.4623685960043,-3.79809647798583,2,1
Route_11,43.4623581836241,-3.79814733949058,3,5
Route_11,43.4623578885049,-3.79814878106162,4,6
Route_11,43.4622313451864,-3.79937857389495,5,106
Route_11,43.4622070099024,-3.7994416058068,6,112
Route_11,43.4621524988309,-3.80014702677772,7,169
Route_11,43.4620600245792,-3.80112066865013,8,249
Route_11,43.4620316061017,-3.80162443864242,9,290
Route_11,43.4620308221546,-3.80163833499001,10,291
Route_11,43.4619909121514,-3.80206212401436,11,325
Route_11,43.4619957792264,-3.80218282342003,12,335
Route_11,43.461999672886,-3.8023209571843,13,346
Route_11,43.4619636565244,-3.8024282455449,14,356
Route_11,43.4617349868301,-3.80481541156863,15,550
Route_11,43.4616512727248,-3.80590438842869,16,639
Route_11,43.46162985747,-3.80631744861699,17,672
Route_11,43.4615700363916,-3.80701541734227,18,729
Route_11,43.4615675585036,-3.80704432726003,19,732
Route_11,43.4614702162402,-3.80811452865698,20,819
Route_11,43.4614510663531,-3.80847597827085,21,848
Route_11,43.4614507477687,-3.80848199129203,22,849
Route_11,43.461435172987,-3.80897819995978,23,889
Route_11,43.4614587129753,-3.80933993514769,24,918
Route_11,43.4614604820052,-3.80936712026694,25,921
Route_11,43.4614637602306,-3.80943260907834,26,926
Route_11,43.4614643756994,-3.80944490432837,27,927
Route_11,43.4615372990445,-3.80980566144039,28,957
Route_11,43.4615624566875,-3.80990722381928,29,966
Route_11,43.4615791561905,-3.80997464060833,30,972
Route_11,43.4616297740957,-3.81012216210415,31,985
Route_11,43.4616438242011,-3.81018991209007,32,990
Route_11,43.4616531361915,-3.81023481488277,33,994
Route_11,43.4618440096772,-3.81096571683984,34,1057
Route_11,43.4619140956893,-3.81131440401177,35,1086
Route_11,43.4619312570986,-3.81175050007853,36,1122
Route_11,43.4618771058596,-3.81215661764245,37,1155
Route_11,43.4618109642024,-3.81281532338422,38,1209
Route_11,43.4618089666406,-3.81283521652323,39,1210
Route_11,43.4617996444121,-3.81290200266598,40,1216
Route_11,43.461739592571,-3.81327450465452,41,1247
Route_11,43.4616887437344,-3.81365596074093,42,1278
Route_11,43.4616756916067,-3.81375387311135,43,1286
Route_11,43.4616026850542,-3.81440028548394,44,1339
Route_11,43.4614498577191,-3.81576418876804,45,1451
Route_11,43.4611831390239,-3.81680622697033,46,1540
Route_11,43.4608687209489,-3.81797701120535,47,1641
Route_11,43.4605932387527,-3.81901368498962,48,1730
Route_11,43.4605483772356,-3.81924301385986,49,1750
Route_11,43.4605437452289,-3.81929373200084,50,1754
Route_11,43.4604656349269,-3.8196802139293,51,1779
Route_11,43.4604151987545,-3.81986426359668,52,1795
Route_11,43.4598893559419,-3.821783065797,53,1961
Route_11,43.4595233380587,-3.8232421875011,54,2086
Route_11,43.4595209870227,-3.82325081497578,55,2087
Route_11,43.4592437216687,-3.82426825985517,56,2175
Route_11,43.4592390052265,-3.82428556680735,57,2176
Route_11,43.4587211226401,-3.82629454135952,58,2348
Route_11,43.4586977594113,-3.8264004886156,59,2357
Route_11,43.4586500594579,-3.82648363709507,60,2365
Route_11,43.458599439058,-3.82653057575283,61,2372
Route_11,43.4585082143099,-3.82683733809751,62,2399
Route_11,43.4581819025142,-3.82796823978539,63,2497
Route_11,43.4579463207761,-3.82893919944879,64,2580
Route_11,43.4576133896472,-3.83008718490718,65,2680
Route_11,43.4575613454616,-3.8302271397593,66,2693
Route_11,43.4575490561969,-3.83026018738805,67,2696
Route_11,43.4575061456548,-3.83038246617871,68,2707
Route_11,43.4574779916372,-3.83046269416868,69,2714
Route_11,43.4573757753432,-3.83069202303945,70,2736
Route_11,43.4573330251693,-3.83080333471416,71,2746
Route_11,43.4573232068961,-3.83085966110289,72,2751
Route_11,43.4573232902682,-3.83090794086574,73,2755
Route_11,43.4573232068961,-3.83095487952291,74,2758
Route_11,43.4573291312091,-3.83099913597225,75,2762
Route_11,43.4573309948171,-3.83105143904745,76,2766
Route_11,43.4573271842289,-3.83109301328777,77,2770
Route_11,43.4573163924645,-3.8311319053179,78,2773
Route_11,43.4573018734805,-3.83116811514019,79,2776
Route_11,43.4572813468038,-3.83120968937933,80,2780
Route_11,43.4572603377088,-3.83123966567939,81,2784
Route_11,43.4571937325632,-3.83130893111288,82,2792
Route_11,43.4571557663528,-3.83132770657599,83,2797
Route_11,43.4571070916893,-3.83132100105345,84,2802
Route_11,43.4569241579756,-3.83142828941464,85,2823
Route_11,43.4568003972036,-3.83161000089048,86,2843
Route_11,43.45677618631,-3.83164554834484,87,2847
Route_11,43.4565736981807,-3.83185744285702,88,2876
Route_11,43.4565190986582,-3.83193790912688,89,2884
Route_11,43.4564986550891,-3.83199825882971,90,2890
Route_11,43.4564811320243,-3.83205324411452,91,2895
Route_11,43.4564724538617,-3.83211225271345,92,2900
Route_11,43.4564744008694,-3.83227854967237,93,2913
Route_11,43.45647237049,-3.83237510919631,94,2921
Route_11,43.4564675029704,-3.83242607116759,95,2925
Route_11,43.4564627707657,-3.8324508438068,96,2927
Route_11,43.4564236952763,-3.83262187242568,97,2940
Route_11,43.456363337957,-3.83272647857726,98,2951
Route_11,43.4562776694003,-3.83279085159362,99,2962
Route_11,43.4561404047553,-3.83281096816123,100,2974
Route_11,43.4560479213081,-3.83277475833953,101,2985
Route_11,43.4559826960551,-3.8327331840998,102,2993
Route_11,43.4559262323464,-3.83266746997893,103,3001
Route_11,43.4558240134293,-3.83262991905272,104,3012
Route_11,43.4557344500456,-3.83264198899329,105,3022
Route_11,43.4555884225051,-3.83268088102401,106,3038
Route_11,43.4554180565956,-3.83275330066741,107,3058
Route_11,43.4553357565893,-3.83286426335662,108,3071
Route_11,43.455326545566,-3.83287668228209,109,3072
Route_11,43.4552681341981,-3.83296385407508,110,3082
Route_11,43.4548913795197,-3.83425801992477,111,3195
Route_11,43.454668594196,-3.83500316128649,112,3260
Route_11,43.4544046128939,-3.83587673306527,113,3336
Route_11,43.4543082326373,-3.83620530366959,114,3365
Route_11,43.4542322965693,-3.8370515406138,115,3434
Route_11,43.4542176934684,-3.83730903267923,116,3455
Route_11,43.4542488467461,-3.83812442421976,117,3521
Route_11,43.4542678186227,-3.83840929349301,118,3544
Route_11,43.4542683175365,-3.83841678500238,119,3545
Route_11,43.4542887618597,-3.83882448077265,120,3578
Route_11,43.4543890362972,-3.83930861949984,121,3619
Route_11,43.4545827699335,-3.84009853005473,122,3686
Route_11,43.4547414558164,-3.8408669829375,123,3751
Route_11,43.454782344136,-3.84113520383899,124,3773
Route_11,43.4547959735698,-3.84145841002529,125,3799
Route_11,43.4546645467595,-3.84229794144695,126,3868
Route_11,43.4545555109669,-3.84284511208599,127,3913
Route_11,43.4545313176816,-3.84296425950313,128,3923
Route_11,43.4544776281375,-3.84322866797512,129,3946
Route_11,43.454309206176,-3.84406819939679,130,4016
Route_11,43.4541086568701,-3.84514644742078,131,4106
Route_11,43.453957757682,-3.84586393833227,132,4167
Route_11,43.4537367627077,-3.84619787335463,133,4203
Route_11,43.4536160426449,-3.84635880589552,134,4222
Route_11,43.4536113960724,-3.84636470573749,135,4223
Route_11,43.453118556618,-3.84699046611853,136,4297
Route_11,43.4531120822789,-3.8469982451507,137,4298
Route_11,43.452768074768,-3.84741157293387,138,4349
Route_11,43.4523173131806,-3.84798422455855,139,4417
Route_11,43.4520086904585,-3.84836107492515,140,4463
Route_11,43.4515121647929,-3.848963230849,141,4537
Route_11,43.4512794778332,-3.84913757443497,142,4566
Route_11,43.4511899077188,-3.8491804897792,143,4576
Route_11,43.4511822903062,-3.84918428508321,144,4577
Route_11,43.4509153550201,-3.84931728243897,145,4609
Route_11,43.4505843323786,-3.84949162602493,146,4648
Route_11,43.4504139523716,-3.84959757328102,147,4669
Route_11,43.450265964776,-3.84978935122559,148,4692
Route_11,43.4500050383965,-3.85040894150803,149,4750
Route_11,43.4497090608422,-3.85111838579248,150,4816
Route_11,43.4495615404108,-3.85142853624026,151,4846
Route_11,43.4491540990239,-3.85244205594133,152,4939
Route_11,43.4490927608263,-3.85260298848223,153,4954
Route_11,43.4490362906846,-3.85274112224649,154,4967
Route_11,43.4490129237139,-3.8527773320682,155,4971
Route_11,43.4490002666011,-3.85296106338572,156,4986
Route_11,43.4489048513574,-3.85337010026049,157,5021
Route_11,43.448654629034,-3.85436519980502,158,5106
Route_11,43.4484910590179,-3.85556548833919,159,5205
Route_11,43.4483187258439,-3.85696157813145,160,5319
Route_11,43.448157102195,-3.85786011815145,161,5394
Route_11,43.448124972141,-3.85799691081121,162,5406
Route_11,43.4477598566926,-3.85937020182684,163,5524
Route_11,43.4476556766805,-3.85985299944952,164,5565
Route_11,43.4476206254211,-3.8606952130802,165,5633
Route_11,43.4476205100106,-3.86069842003827,166,5634
Route_11,43.4475865477884,-3.86164203286247,167,5710
Route_11,43.4476040734305,-3.86226832866745,168,5761
Route_11,43.4477277264276,-3.86328756809311,169,5844
Route_11,43.4478839605786,-3.86376549291333,170,5887
Route_11,43.4479224550445,-3.86412978172379,171,5916
Route_11,43.4480091090775,-3.86431887745935,172,5935
Route_11,43.4480910322983,-3.86437905995227,173,5945
Route_11,43.4481337348847,-3.864436894656,174,5952
Route_11,43.4481561285572,-3.86450260877687,175,5957
Route_11,43.4481600231081,-3.8645616173752,176,5962
Route_11,43.448144444903,-3.86465013027269,177,5970
Route_11,43.4480918684312,-3.86475205421526,178,5980
Route_11,43.4479682161785,-3.86505246162492,179,6007
Route_11,43.4477102008214,-3.86598050594408,180,6088
Route_11,43.4476069943703,-3.86635333299716,181,6120
Route_11,43.4476508084513,-3.86651426553805,182,6134
Route_11,43.4476777211987,-3.8666373900783,183,6144
Route_11,43.447672228657,-3.86669933796008,184,6149
Route_11,43.4476508084512,-3.86676639318545,185,6155
Route_11,43.4476225727138,-3.86679589748461,186,6159
Route_11,43.4475777849654,-3.86680260300715,187,6164
Route_11,43.447511660296,-3.86683613062063,188,6171
Route_11,43.4474590832742,-3.86689513921896,189,6179
Route_11,43.4473250901522,-3.86733514568161,190,6217
Route_11,43.447131936333,-3.86800155043762,191,6275
Route_11,43.4468992325211,-3.86884510517281,192,6348
Route_11,43.4466752907691,-3.86964708566828,193,6418
Route_11,43.4465019787571,-3.87025862932367,194,6471
Route_11,43.4460521441393,-3.87165203690693,195,6594
Route_11,43.4457473841532,-3.8726887106912,196,6685
Route_11,43.4454591752139,-3.87363687157797,197,6768
Route_11,43.4452215965422,-3.87432619929482,198,6829
Route_11,43.4449957012021,-3.87472853064705,199,6871
Route_11,43.4444689333606,-3.87536823749712,200,6949
Route_11,43.4442512480819,-3.87559774912771,201,6979
Route_11,43.444248877414,-3.87560024857691,202,6980
Route_11,43.4440911377032,-3.87570485472849,203,6999
Route_11,43.4439587139246,-3.87577995658091,204,7015
Route_11,43.4438524965862,-3.87586846947755,205,7029
Route_11,43.4437882318883,-3.87599453330125,206,7041
Route_11,43.4437298927418,-3.87610718608073,207,7052
Route_11,43.4436539433919,-3.87619033456019,208,7063
Route_11,43.4435750728123,-3.87621179223231,209,7072
Route_11,43.4435010706934,-3.87619972229174,210,7080
Route_11,43.443376351976,-3.8762372732171,211,7093
Route_11,43.4427765407529,-3.87712374329653,212,7191
Route_11,43.4427716721309,-3.87730747461405,213,7206
Route_11,43.4427765407528,-3.87739732861605,214,7213
Route_11,43.4427658297841,-3.87751802802172,215,7223
Route_11,43.4427239596153,-3.87761995196429,216,7233
Route_11,43.4426626148972,-3.8776950538167,217,7242
Route_11,43.4425944540262,-3.87770846486178,218,7249
Route_11,43.4425097396939,-3.87771517038431,219,7257
Route_11,43.442426972703,-3.87768432498064,220,7267
Route_11,43.4423704963383,-3.87763872742739,221,7274
Route_11,43.4423237572379,-3.87756496667948,222,7282
Route_11,43.4421523802278,-3.87747243046847,223,7302
Route_11,43.4420004774721,-3.87752071023074,224,7319
Route_11,43.441858311727,-3.87768164277163,225,7340
Route_11,43.4417365942141,-3.87781575322237,226,7357
Route_11,43.4415661892846,-3.87788549065676,227,7377
Route_11,43.4414639460964,-3.87789353728381,228,7388
Route_11,43.4414545780489,-3.87789312313497,229,7389
Route_11,43.4410695778952,-3.87787610292521,230,7432
Route_11,43.4406664432992,-3.87785464525309,231,7477
Route_11,43.4400003889512,-3.87779831886378,232,7551
Route_11,43.4395797192693,-3.87748718261805,233,7604
Route_11,43.4394706562817,-3.87744426727381,234,7617
Route_11,43.439388858912,-3.87729406356897,235,7632
Route_11,43.4392038406441,-3.8772270083436,236,7653
Route_11,43.4386682582582,-3.87728601694193,237,7713
Route_11,43.4384345480949,-3.87730747461405,238,7739
Route_11,43.4383731990275,-3.87735173106279,239,7746
Route_11,43.4383839107739,-3.87746840715494,240,7755
Route_11,43.4384657095022,-3.87768432498064,241,7775
Route_11,43.4388620422506,-3.87823015451518,242,7837
Route_11,43.438956551257,-3.87832527022347,243,7850
Route_11,43.43896331605,-3.87833207845774,244,7851
Route_11,43.4393820424596,-3.87910187244502,245,7929
Route_11,43.4399156709866,-3.87999907136051,246,8023
Route_11,43.4402954402468,-3.88044968247502,247,8078
Route_11,43.4406907872521,-3.88084933161824,248,8133
Route_11,43.4409877826872,-3.88119265437215,249,8176
Route_11,43.4414598011444,-3.88173595456959,250,8244
Route_11,43.4415398981955,-3.8817773759374,251,8254
Route_11,43.4415554781015,-3.88183772564023,252,8259
Route_11,43.4415613205652,-3.8819396495828,253,8267
Route_11,43.4415088217358,-3.88220921158969,254,8289
Route_11,43.4413072562366,-3.88329148292722,255,8380
Route_11,43.4410716087629,-3.88453200459662,256,8483
Route_11,43.4409771547658,-3.88511538505737,257,8532
Route_11,43.4407914164083,-3.8857746848993,258,8589
Route_11,43.4407882463291,-3.8857859373111,259,8590
Route_11,43.4403305791144,-3.88734295964427,260,8726
Route_11,43.4401075868129,-3.88784319162555,261,8773
Route_11,43.4400744787155,-3.88798937201686,262,8786
Route_11,43.440077400019,-3.88812750578113,263,8797
Route_11,43.4400822688577,-3.88822540641018,264,8805
Route_11,43.44004721321,-3.88836488127896,265,8817
Route_11,43.440017026386,-3.88840645551869,266,8821
Route_11,43.4399692283343,-3.88845339417551,267,8827
Route_11,43.4399098283639,-3.88849765062426,268,8835
Route_11,43.43979589711,-3.88849630951975,269,8847
Route_11,43.4397179952745,-3.88846144080256,270,8856
Route_11,43.4396400933386,-3.88832062482927,271,8871
Route_11,43.4396235391643,-3.88813957572077,272,8885
Route_11,43.4396654114787,-3.88801753521059,273,8896
Route_11,43.4397579199777,-3.88792231679056,274,8909
Route_11,43.4398863582215,-3.88788667506652,275,8924
Route_11,43.440014021716,-3.88782441616152,276,8939
Route_11,43.4400782904232,-3.88775199651811,277,8948
Route_11,43.4401445065955,-3.88768225908373,278,8957
Route_11,43.4403976854096,-3.88695269823167,279,9023
Route_11,43.4404697438015,-3.88671934604737,280,9043
Route_11,43.4404761771128,-3.88669844302421,281,9045
Route_11,43.4406703383323,-3.88606756925675,282,9101
Route_11,43.4408192343729,-3.88555623412288,283,9145
Route_11,43.4408202969161,-3.88555258512589,284,9146
Route_11,43.4409488325492,-3.88506174087616,285,9188
Route_11,43.441102685448,-3.88414978981109,286,9263
Route_11,43.4414473924211,-3.88230979442686,287,9417
Route_11,43.441521397052,-3.8819584250459,288,9447
Route_11,43.4415215052336,-3.88194769826474,289,9448
Route_11,43.4415944278489,-3.88159498572438,290,9478
Route_11,43.4415992965656,-3.88159364461988,291,9479
Route_11,43.4417897266848,-3.88047764405112,292,9571
Route_13,43.4702003537333,-3.80582887177366,293,0
Route_13,43.4700813964877,-3.80634695291567,294,44
Route_13,43.4698108227189,-3.80876228213359,295,241
Route_13,43.4698103311495,-3.80876604797431,296,242
Route_13,43.4696473099262,-3.81001487374355,297,344
Route_13,43.4696659331949,-3.8100944232002,298,351
Route_13,43.469697921076,-3.81017848849346,299,359
Route_13,43.4697037608213,-3.81030723452618,300,369
Route_13,43.4696658024666,-3.81043195724537,301,380
Route_13,43.4696151912899,-3.81050169467976,302,388
Route_13,43.4695529005528,-3.81048828363468,303,394
Route_13,43.4694983961051,-3.81045073270848,304,401
Route_13,43.4694536245577,-3.81035149097492,305,410
Route_13,43.4694555711474,-3.81025627255489,306,418
Route_13,43.4694808768079,-3.81014764308979,307,427
Route_13,43.4695178619849,-3.81007924675991,308,434
Route_13,43.4695820993438,-3.80991294980099,309,449
Route_13,43.4696249242118,-3.8095548748975,310,478
Route_13,43.4698137425862,-3.80792543292094,311,612
Route_13,43.469810822719,-3.8076840341096,312,631
Route_13,43.4698770063426,-3.80738630890895,313,657
Route_13,43.4700298123734,-3.80601301789332,314,769
Route_13,43.4701767783188,-3.80473896861124,315,873
Route_13,43.4701466065314,-3.80466252565431,316,880
Route_13,43.4701456332476,-3.80461961031007,317,884
Route_13,43.4701543928006,-3.80459278821992,318,886
Route_13,43.4701621790687,-3.80452707409906,319,891
Route_13,43.470177751602,-3.80447074770975,320,896
Route_13,43.47021376307,-3.80442917347002,321,901
Route_13,43.4703879804093,-3.8035628199582,322,973
Route_13,43.4703896791542,-3.80355377425209,323,974
Route_13,43.4710069832064,-3.80026638507889,324,1249
Route_13,43.4709894643465,-3.80007326602981,325,1265
Route_13,43.4710245020613,-3.7999096512799,326,1278
Route_13,43.4710893458709,-3.79984015625225,327,1287
Route_13,43.4712035833972,-3.79907816648528,328,1349
Route_13,43.4712049202021,-3.79907126476855,329,1350
Route_13,43.4718731871694,-3.79562079906507,330,1639
Route_13,43.4719082243718,-3.79532307386442,331,1663
Route_13,43.4719296359855,-3.79518091678663,332,1675
Route_13,43.4719179569244,-3.79508972168012,333,1682
Route_13,43.4719237964553,-3.79501193761869,334,1687
Route_13,43.4719452080635,-3.79490196704908,335,1696
