service_id,date,exception_type
25001IFA_0101,20251221,1
25001IFA_0101,20251225,1
25001IFA_0101,20251228,1
25001IFA_0101,20260101,1
25001IFA_0101,20260104,1
25001IFA_0101,20260106,1
25001IFA_0101,20260111,1
25001IFA_0101,20260118,1
25001IFA_0101,20260125,1
25001IFA_0101,20260201,1
25001IFA_0101,20260208,1
25001IFA_0101,20260215,1
25001IFA_0101,20260222,1
25001IFA_0101,20260301,1
25001IFA_0101,20260308,1
25001IFA_0101,20260315,1
25001IFA_0101,20260322,1
25001IFA_0101,20260329,1
25001IFA_0101,20260402,1
25001IFA_0101,20260405,1
25001IFA_0101,20260412,1
25001IFA_0101,20260419,1
25001IFA_0101,20260426,1
25001IFA_0101,20260503,1
25001IFA_0101,20260510,1
25001IFA_0101,20260517,1
25001IFA_0101,20260524,1
25001IFA_0101,20260525,1
25001IFA_0101,20260531,1
25001IFA_0101,20260607,1
25001IFA_0101,20260614,1
25001IFA_0101,20260621,1
25001IFA_0101,20260628,1
25001IFA_0102,20251221,1
25001IFA_0102,20251225,1
25001IFA_0102,20251228,1
25001IFA_0102,20260101,1
25001IFA_0102,20260104,1
25001IFA_0102,20260106,1
25001IFA_0102,20260111,1
25001IFA_0102,20260118,1
25001IFA_0102,20260125,1
25001IFA_0102,20260201,1
25001IFA_0102,20260208,1
25001IFA_0102,20260215,1
25001IFA_0102,20260222,1
25001IFA_0102,20260301,1
25001IFA_0102,20260308,1
25001IFA_0102,20260315,1
25001IFA_0102,20260322,1
25001IFA_0102,20260329,1
25001IFA_0102,20260402,1
25001IFA_0102,20260405,1
25001IFA_0102,20260412,1
25001IFA_0102,20260419,1
25001IFA_0102,20260426,1
25001IFA_0102,20260503,1
25001IFA_0102,20260510,1
25001IFA_0102,20260517,1
25001IFA_0102,20260524,1
25001IFA_0102,20260525,1
25001IFA_0102,20260531,1
25001IFA_0102,20260607,1
25001IFA_0102,20260614,1
25001IFA_0102,20260621,1
25001IFA_0102,20260628,1
25001IFA_0103,20251221,1
25001IFA_0103,20251225,1
25001IFA_0103,20251228,1
25001IFA_0103,20260101,1
25001IFA_0103,20260104,1
25001IFA_0103,20260106,1
25001IFA_0103,20260111,1
25001IFA_0103,20260118,1
25001IFA_0103,20260125,1
25001IFA_0103,20260201,1
25001IFA_0103,20260208,1
25001IFA_0103,20260215,1
25001IFA_0103,20260222,1
25001IFA_0103,20260301,1
25001IFA_0103,20260308,1
25001IFA_0103,20260315,1
25001IFA_0103,20260322,1
25001IFA_0103,20260329,1
25001IFA_0103,20260402,1
25001IFA_0103,20260405,1
25001IFA_0103,20260412,1
25001IFA_0103,20260419,1
25001IFA_0103,20260426,1
25001IFA_0103,20260503,1
25001IFA_0103,20260510,1
25001IFA_0103,20260517,1
25001IFA_0103,20260524,1
25001IFA_0103,20260525,1
25001IFA_0103,20260531,1
25001IFA_0103,20260607,1
25001IFA_0103,20260614,1
25001IFA_0103,20260621,1
25001IFA_0103,20260628,1
25001IFA_0104,20251221,1
25001IFA_0104,20251225,1
25001IFA_0104,20251228,1
25001IFA_0104,20260101,1
25001IFA_0104,20260104,1
25001IFA_0104,20260106,1
25001IFA_0104,20260111,1
25001IFA_0104,20260118,1
25001IFA_0104,20260125,1
25001IFA_0104,20260201,1
25001IFA_0104,20260208,1
25001IFA_0104,20260215,1
25001IFA_0104,20260222,1
25001IFA_0104,20260301,1
25001IFA_0104,20260308,1
25001IFA_0104,20260315,1
25001IFA_0104,20260322,1
25001IFA_0104,20260329,1
25001IFA_0104,20260402,1
25001IFA_0104,20260405,1
25001IFA_0104,20260412,1
25001IFA_0104,20260419,1
25001IFA_0104,20260426,1
25001IFA_0104,20260503,1
25001IFA_0104,20260510,1
25001IFA_0104,20260517,1
25001IFA_0104,20260524,1
25001IFA_0104,20260525,1
25001IFA_0104,20260531,1
25001IFA_0104,20260607,1
25001IFA_0104,20260614,1
25001IFA_0104,20260621,1
25001IFA_0104,20260628,1
25001IFA_0114,20251221,1
25001IFA_0114,20251225,1
25001IFA_0114,20251228,1
25001IFA_0114,20260101,1
25001IFA_0114,20260104,1
25001IFA_0114,20260106,1
25001IFA_0114,20260111,1
25001IFA_0114,20260118,1
25001IFA_0114,20260125,1
25001IFA_0114,20260201,1
25001IFA_0114,20260208,1
25001IFA_0114,20260215,1
25001IFA_0114,20260222,1
25001IFA_0114,20260301,1
25001IFA_0114,20260308,1
25001IFA_0114,20260315,1
25001IFA_0114,20260322,1
25001IFA_0114,20260329,1
25001IFA_0114,20260402,1
25001IFA_0114,20260405,1
25001IFA_0114,20260412,1
25001IFA_0114,20260419,1
25001IFA_0114,20260426,1
25001IFA_0114,20260503,1
25001IFA_0114,20260510,1
25001IFA_0114,20260517,1
25001IFA_0114,20260524,1
25001IFA_0114,20260525,1
25001IFA_0114,20260531,1
25001IFA_0114,20260607,1
25001IFA_0114,20260614,1
25001IFA_0114,20260621,1
25001IFA_0114,20260628,1
25001IFA_0115,20251221,1
25001IFA_0115,20251225,1
25001IFA_0115,20251228,1
25001IFA_0115,20260101,1
25001IFA_0115,20260104,1
25001IFA_0115,20260106,1
25001IFA_0115,20260111,1
25001IFA_0115,20260118,1
25001IFA_0115,20260125,1
25001IFA_0115,20260201,1
25001IFA_0115,20260208,1
25001IFA_0115,20260215,1
25001IFA_0115,20260222,1
25001IFA_0115,20260301,1
25001IFA_0115,20260308,1
25001IFA_0115,20260315,1
25001IFA_0115,20260322,1
25001IFA_0115,20260329,1
25001IFA_0115,20260402,1
25001IFA_0115,20260405,1
25001IFA_0115,20260412,1
25001IFA_0115,20260419,1
25001IFA_0115,20260426,1
25001IFA_0115,20260503,1
25001IFA_0115,20260510,1
25001IFA_0115,20260517,1
25001IFA_0115,20260524,1
25001IFA_0115,20260525,1
25001IFA_0115,20260531,1
25001IFA_0115,20260607,1
25001IFA_0115,20260614,1
25001IFA_0115,20260621,1
25001IFA_0115,20260628,1
25002IFA_0201,20251221,1
25002IFA_0201,20251225,1
25002IFA_0201,20251228,1
25002IFA_0201,20260101,1
25002IFA_0201,20260104,1
25002IFA_0201,20260106,1
25002IFA_0201,20260111,1
25002IFA_0201,20260118,1
25002IFA_0201,20260125,1
25002IFA_0201,20260201,1
25002IFA_0201,20260208,1
25002IFA_0201,20260215,1
25002IFA_0201,20260222,1
